Park_Name,Park_Type,Zip_Code,Aqua_Feat__Pool,Aqua_Feat__Spray,Backstop__Practice,Ballfield,Basketball,Blueway,Complex__Ballfield,Complex__Tennis,Concessions,Disk_Golf,Driving_Range,Educational_Experience,Event_Space,Fitness_Course,Garden__Community,Garden__Display,Golf,Hockey__Ice,Loop_Walk,MP_Field__Large,MP_Field__Multiple,MP_Field__Small,Multiuse_Court,Natural_Area,Open_Turf,Open_Water,Other___Active,Other_Passive,Passive_Node,Picnic_Grounds,Playground__Destination,Playground__Local,Public_Art,Shelter,Shelter__Group,Skate_Park,Sledding_Hill,Structure,Tennis,Trail__Primitive,Volleyball,Water_Access__Developed,Water_Access__General,Water_Feature,Address,Lat,Lon,Cost
Howard Park,Neighborhood Park,46617,,,,,,,,,,,,1,,,,,,1,1,,,,,,1,1,,,4,1,1,,1,,,,,,,,,1,,,"219 S. St. Louis Blvd, South Bend, Indiana 46617",41.67855932,-86.24143682,106583.33
Pinhook Park,Community Park,46616,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,1,,"2801 Riverside Drive, South Bend, Indiana 46616",41.71387393,-86.27120319,39850
Plaza Park,Neighborhood Park,46601,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,"400 Columbia Street, South Bend, Indiana 46601",41.67197971,-86.24572568,11600
Pulaski Park,Neighborhood Park,46619,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,"1308 Huron, South Bend, Indiana 46619",41.67018352,-86.27011869,39250
Randolph Mini Park,Neighborhood Park,46613,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,"1809 Randolph Street, South Bend, Indiana 46613",41.65585822,-86.22014035,26250
Ravina Park,Block Park,46613,,,,,0.5,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,"1522 Lebanon St., South Bend, Indiana 46613",41.65941213,-86.2381902,18242.8
River Manor Park,Neighborhood Park,46628,,,,,0.5,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,1,,2,,,,,,"3811 Glenview Dr., South Bend, Indiana 46628",41.72756649,-86.27364228,36576.14
Sorin Mini Park,Block Park,46615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,"3366 Sorin Street, South Bend, Indiana 46615",41.68463345,-86.20077129,6250
Southeast Neighborhood Park,Neighborhood Park,46601,,1,1,,1,,,,,,,,,,,,,,1,1,,,1,,1,,,,,,,1,,,2,,,,,,,,,,"503 Wenger Street, South Bend, Indiana 46601",41.66258754,-86.24358122,135650
Four Winds Field,Community Park,46601,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,"301 W. South St., South Bend, Indiana 46601",41.66959831,-86.25358006,72375
Voorde Park,Neighborhood Park,46628,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,2,,,,,,"3433 Keller St., South Bend, Indiana 46628",41.6973084,-86.29765393,41583.34
Walker Field Park,Neighborhood Park,46613,,,,1,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,1,,,,4,,,,,,"2212 S. Walnut Street, South Bend, Indiana 46613",41.65108868,-86.27071854,92916.68
Woodlawn Park,Neighborhood Park,46616,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,2,,,,,,,,,,,,,,1,,"2166 Riverside Drive, South Bend, Indiana 46616",41.70574296,-86.26795446,18600
Lincoln Plaza Mini Park,Block Park,46628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1601 Ryer St., South Bend, Indiana 46628",41.69606625,-86.29728166,3000
Newman Recreation Center,Neighborhood Park,46615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"727 S. Eddy St., South Bend, Indiana 46615",41.68508009,-86.23537697,3000
